target,branch_id,verdict,i2s_necessary,assembly_necessary,vpc_size,cmp_size,vp_size,vpc_tags,cmp_tags,vp_tags,size_lift,tag_lift,n_W,n_Lc,n_Lv,skip
harfbuzz,5250,i2s_necessary_value_subtype (needs value-level test),True,False,184,234.5,62.5,1,0.95,0,0.78,0.95,1,20,20,
harfbuzz,5251,i2s_necessary_value_subtype (needs value-level test),True,False,184,234.5,62.5,1,0.95,0,0.78,0.95,1,20,20,
harfbuzz,5399,joint_confirmed,True,True,308,148.0,59.5,1,1,0,2.08,1,5,10,10,
harfbuzz,5440,i2s_necessary_value_subtype (needs value-level test),True,False,88.0,157.5,59.5,1,1,0,0.56,1,2,10,10,
harfbuzz,5442,joint_confirmed,True,True,424,260.0,59.5,2.67,1.5,0.05,1.63,1.45,3,40,40,
harfbuzz,5602,i2s_necessary_value_subtype (needs value-level test),True,False,165,227.5,62.5,2,1.4,0,0.73,1.4,1,20,20,
harfbuzz,5609,i2s_necessary_value_subtype (needs value-level test),True,False,170,148.0,62.5,1.2,1,0,1.15,1,5,10,10,
harfbuzz,5614,i2s_necessary_value_subtype (needs value-level test),True,False,170,157.5,59.5,1.2,1,0,1.08,1,5,10,10,
harfbuzz,5616,i2s_necessary_value_subtype (needs value-level test),True,False,170,157.5,59.5,1.2,1,0,1.08,1,5,10,10,
harfbuzz,5684,joint_confirmed,True,True,426.5,120.5,67.0,3.5,0.7,0,3.54,0.7,2,10,10,
harfbuzz,5732,joint_confirmed,True,True,426.5,157.5,59.5,3.5,1,0,2.71,1,2,10,10,
harfbuzz,5980,i2s_necessary_value_subtype (needs value-level test),True,False,94.0,93.5,58.5,0,0.69,0.02,1.01,0.67,4,48,50,
harfbuzz,6214,joint_confirmed,True,True,380.0,148.0,62.5,1.75,1,0,2.57,1,4,10,10,
harfbuzz,6223,joint_confirmed,True,True,380.0,148.0,62.5,1.75,1,0,2.57,1,4,10,10,
harfbuzz,6812,i2s_necessary_value_subtype (needs value-level test),True,False,56,157.5,59.5,1,1,0,0.36,1,1,10,10,
harfbuzz,6813,i2s_necessary_value_subtype (needs value-level test),True,False,56,157.5,59.5,1,1,0,0.36,1,1,10,10,
harfbuzz,6814,joint_confirmed,True,True,603.5,247.5,68.0,2.4,1.4,0,2.44,1.4,10,30,30,
harfbuzz,6815,i2s_necessary_value_subtype (needs value-level test),True,False,101.0,157.5,59.5,1.25,1,0,0.64,1,4,10,10,
harfbuzz,6858,i2s_necessary_value_subtype (needs value-level test),True,False,88.0,157.5,59.5,1,1,0,0.56,1,2,10,10,
harfbuzz,7170,i2s_necessary_value_subtype (needs value-level test),True,False,138.5,157.5,59.5,2,1,0,0.88,1,4,10,10,
harfbuzz,7239,i2s_necessary_value_subtype (needs value-level test),True,False,88.0,157.5,59.5,1,1,0,0.56,1,2,10,10,
harfbuzz,7245,i2s_necessary_value_subtype (needs value-level test),True,False,88.0,157.5,59.5,1,1,0,0.56,1,2,10,10,
