family,category,status,n,aflplusplus,honggfuzz,libfuzzer,libafl
I2S-P,i2s_string_literal_substitution,validated,199,0.719,0.658,0.678,0.568
I2S-P,i2s_numeric_tag_substitution,validated,39,0.641,0.385,0.897,0.590
I2S-P,inconclusive,inconclusive,56,0.839,0.875,0.875,0.571
I2S-A,i2s_anti_target_depletion,validated,25,0.760,0.720,0.760,0.040
I2S-A,i2s_anti_decoy_overfit,validated,14,0.071,0.143,0.143,0.000
I2S-A,i2s_anti_structural_byte_corruption,validated,10,0.900,0.700,0.800,0.000
I2S-A,inconclusive,inconclusive,24,0.542,0.500,0.542,0.083
VP-P,vp_gradient_value_distance_closure,validated,33,0.848,0.818,0.970,0.152
VP-P,vp_gradient_assembly_depth,validated,20,0.900,1.000,1.000,0.000
VP-P,inconclusive,inconclusive,50,0.840,0.940,0.880,0.080
VPC-P,joint_value_distance_closure,validated,18,0.500,0.611,0.667,0.000
VPC-P,joint_assembly_depth,validated,9,0.667,0.778,0.333,0.000
VPC-P,inconclusive,inconclusive,12,0.417,0.583,0.833,0.083
CTX-P,ctx_iteration_path_depth,validated,14,0.571,0.714,0.643,0.214
CTX-P,inconclusive,inconclusive,39,0.821,0.897,0.949,0.256
CTX-A,ctx_inflation,validated,4,0.500,0.000,0.250,0.250
CTX-A,inconclusive,inconclusive,3,0.667,0.333,0.667,0.000
GRIM-P,grimoire_structural_assembly,validated,11,0.818,0.818,0.818,0.000
GRIM-P,inconclusive,inconclusive,31,0.968,0.968,0.935,0.032
NGRAM-P,ngram_sequential_depth_reach,validated,2,1.000,1.000,1.000,0.500
NGRAM-P,inconclusive,inconclusive,2,0.000,1.000,1.000,0.500
VPC-A,inconclusive,inconclusive,2,0.500,0.000,0.000,1.000
GRIM-A,inconclusive,inconclusive,3,1.000,1.000,1.000,0.667
NGRAM-A,inconclusive,inconclusive,1,1.000,1.000,1.000,1.000
CALI-P,inconclusive,inconclusive,13,0.923,0.923,0.923,0.308
FAST-P,inconclusive,inconclusive,2,1.000,1.000,1.000,1.000
FAST-A,inconclusive,inconclusive,2,1.000,1.000,1.000,0.500
MOPT-A,inconclusive,inconclusive,1,1.000,1.000,1.000,1.000
