scope,family,n_branches,aflplusplus,aflplusplus_n,honggfuzz,honggfuzz_n,libfuzzer,libfuzzer_n,libafl,libafl_n
validated,I2S-P,238,0.706,238,0.613,238,0.714,238,0.571,238
validated,I2S-A,49,0.592,49,0.551,49,0.592,49,0.020,49
validated,VP-P,53,0.868,53,0.887,53,0.981,53,0.094,53
validated,VPC-P,27,0.556,27,0.667,27,0.556,27,0.000,27
validated,CTX-P,14,0.571,14,0.714,14,0.643,14,0.214,14
validated,CTX-A,4,0.500,4,0.000,4,0.250,4,0.250,4
validated,GRIM-P,11,0.818,11,0.818,11,0.818,11,0.000,11
validated,NGRAM-P,2,1.000,2,1.000,2,1.000,2,0.500,2
all,I2S-P,294,0.731,294,0.663,294,0.745,294,0.571,294
all,I2S-A,72,0.583,72,0.542,72,0.583,72,0.042,72
all,VP-P,103,0.854,103,0.913,103,0.932,103,0.087,103
all,VPC-P,39,0.513,39,0.641,39,0.641,39,0.026,39
all,CTX-P,53,0.755,53,0.849,53,0.868,53,0.245,53
all,CTX-A,6,0.500,6,0.167,6,0.333,6,0.167,6
all,GRIM-P,42,0.929,42,0.929,42,0.905,42,0.024,42
all,NGRAM-P,4,0.500,4,1.000,4,1.000,4,0.500,4
all,VPC-A,2,0.500,2,0.000,2,0.000,2,1.000,2
all,GRIM-A,3,1.000,3,1.000,3,1.000,3,0.667,3
all,NGRAM-A,1,1.000,1,1.000,1,1.000,1,1.000,1
all,CALI-P,13,0.923,13,0.923,13,0.923,13,0.308,13
all,FAST-P,2,1.000,2,1.000,2,1.000,2,1.000,2
all,FAST-A,2,1.000,2,1.000,2,1.000,2,0.500,2
all,MOPT-A,1,1.000,1,1.000,1,1.000,1,1.000,1
