target,branch_id,resolving,blocking,shape,file,function,line
lcms,2149,2,38,RBRBB-----,/src/Little-CMS/src/cmsio0.c,_cmsReadHeader,776
lcms,2674,1,61,-BBR------,/src/Little-CMS/src/cmslut.c,cmsPipelineAlloc,1373
lcms,2141,1,10,B-R-------,/src/Little-CMS/src/cmsio0.c,cmsio0.c:validDeviceClass,749
lcms,2276,2,10,B-R-------,/src/Little-CMS/src/cmspcs.c,_cmsLCMScolorSpace,860
lcms,2288,2,10,B-R-------,/src/Little-CMS/src/cmspcs.c,cmsChannelsOfColorSpace,885
lcms,2303,1,10,B-R-------,/src/Little-CMS/src/cmspcs.c,cmsChannelsOfColorSpace,905
lcms,2417,2,10,B-R-------,/src/Little-CMS/src/cmsxform.c,cmsxform.c:GetXFormColorSpaces,1025
lcms,2137,2,24,--RB------,/src/Little-CMS/src/cmsio0.c,cmsio0.c:_validatedVersion,729
lcms,2334,1,10,--BR------,/src/Little-CMS/src/cmsplugin.c,_cmsReadTypeBase,444
lcms,2090,2,15,-B-R------,/src/Little-CMS/src/cmscnvrt.c,cmscnvrt.c:AddConversion,458
libpng,3833,1,40,-B-R------,/src/libpng/png.c,png.c:png_XYZ_from_xy,1288
libxml2,6405,1,26,BRR-R-----,/src/libxml2/hash.c,xmlHashAddEntry3,580
libxml2,9361,2,74,-BBR------,/src/libxml2/parser.c,parser.c:xmlParseElementStart,10185
libxml2,7296,1,22,-BBR------,/src/libxml2/xmlregexp.c,xmlregexp.c:xmlFAGenerateEpsilonTransition,1513
libxml2,7311,1,22,-BBR------,/src/libxml2/xmlregexp.c,xmlAutomataNewEpsilon,6340
libxml2,7352,2,19,-B-R------,/src/libxml2/SAX2.c,xmlSAX2ElementDecl,787
libxml2,9435,2,30,--BR------,/src/libxml2/parser.c,parser.c:xmlParseTryOrFinish,11687
libxml2,6402,0,117,BR--------,/src/libxml2/hash.c,xmlHashAddEntry3,572
libxml2,8138,1,7,--BR------,/src/libxml2/parserInternals.c,xmlStringCurrentChar,764
